county_name,candidate_name,election_day,absentee_mail,early_in_person,provisional,total
Appling County,Donald J. Trump (I) (Rep),"1,753",890,"3,874",9,"6,526"
Appling County,Joseph R. Biden (Dem),334,587,855,3,"1,779"
Appling County,Jo Jorgensen (Lib),5,5,26,0,36
Atkinson County,Donald J. Trump (I) (Rep),716,164,"1,419",1,"2,300"
Atkinson County,Joseph R. Biden (Dem),250,130,445,0,825
Atkinson County,Jo Jorgensen (Lib),14,3,13,0,30
Bacon County,Donald J. Trump (I) (Rep),431,487,"3,099",1,"4,018"
Bacon County,Joseph R. Biden (Dem),140,196,288,1,625
Bacon County,Jo Jorgensen (Lib),8,4,13,0,25
Baker County,Donald J. Trump (I) (Rep),291,138,466,2,897
Baker County,Joseph R. Biden (Dem),149,234,269,0,652
Baker County,Jo Jorgensen (Lib),2,2,2,0,6
Baldwin County,Donald J. Trump (I) (Rep),"1,873","1,290","5,736",4,"8,903"
Baldwin County,Joseph R. Biden (Dem),"1,527","3,000","4,612",1,"9,140"
Baldwin County,Jo Jorgensen (Lib),63,38,107,0,208
Banks County,Donald J. Trump (I) (Rep),"1,644","1,025","5,116",10,"7,795"
Banks County,Joseph R. Biden (Dem),150,344,435,3,932
Banks County,Jo Jorgensen (Lib),20,9,45,0,74
Barrow County,Donald J. Trump (I) (Rep),"5,885","4,134","16,782",3,"26,804"
Barrow County,Joseph R. Biden (Dem),"1,717","3,583","5,150",3,"10,453"
Barrow County,Jo Jorgensen (Lib),226,131,307,0,664
Bartow County,Donald J. Trump (I) (Rep),"10,179","5,976","21,499",20,"37,674"
Bartow County,Joseph R. Biden (Dem),"2,175","4,486","5,423",8,"12,092"
Bartow County,Jo Jorgensen (Lib),276,148,275,2,701
Ben Hill County,Donald J. Trump (I) (Rep),441,528,"3,140",1,"4,110"
Ben Hill County,Joseph R. Biden (Dem),336,714,"1,342",0,"2,392"
Ben Hill County,Jo Jorgensen (Lib),18,8,32,0,58
Berrien County,Donald J. Trump (I) (Rep),"1,835",749,"3,825",10,"6,419"
Berrien County,Joseph R. Biden (Dem),333,367,568,1,"1,269"
Berrien County,Jo Jorgensen (Lib),21,9,25,0,55
Bibb County,Donald J. Trump (I) (Rep),"7,922","5,375","13,234",54,"26,585"
Bibb County,Joseph R. Biden (Dem),"8,704","14,264","20,384",116,"43,468"
Bibb County,Jo Jorgensen (Lib),299,174,273,3,749
Bleckley County,Donald J. Trump (I) (Rep),942,614,"2,770",2,"4,328"
Bleckley County,Joseph R. Biden (Dem),295,428,588,0,"1,311"
Bleckley County,Jo Jorgensen (Lib),20,10,37,0,67
Brantley County,Donald J. Trump (I) (Rep),"1,992",685,"4,307",7,"6,991"
Brantley County,Joseph R. Biden (Dem),145,204,349,1,699
Brantley County,Jo Jorgensen (Lib),24,11,21,0,56
Brooks County,Donald J. Trump (I) (Rep),"1,423",519,"2,312",6,"4,260"
Brooks County,Joseph R. Biden (Dem),522,"1,115","1,149",4,"2,790"
Brooks County,Jo Jorgensen (Lib),16,9,25,0,50
Bryan County,Donald J. Trump (I) (Rep),"2,579","1,588","10,072",5,"14,244"
Bryan County,Joseph R. Biden (Dem),838,"2,105","3,794",2,"6,739"
Bryan County,Jo Jorgensen (Lib),108,72,177,0,357
Bulloch County,Donald J. Trump (I) (Rep),"6,653","2,800","8,910",23,"18,386"
Bulloch County,Joseph R. Biden (Dem),"2,415","3,530","5,263",35,"11,243"
