county_name,candidate_name,election_day,absentee_mail,early_in_person,provisional,total
Appling County,DONALD J. TRUMP (REP),"2,948",362,"2,182",2,"5,494"
Appling County,HILLARY CLINTON (DEM),677,159,598,0,"1,434"
Appling County,GARY JOHNSON (LIB),41,9,27,0,77
Atkinson County,DONALD J. TRUMP (REP),843,58,972,5,"1,878"
Atkinson County,HILLARY CLINTON (DEM),367,30,299,1,697
Atkinson County,GARY JOHNSON (LIB),24,1,10,0,35
Bacon County,DONALD J. TRUMP (REP),"1,142",134,"2,082",6,"3,364"
Bacon County,HILLARY CLINTON (DEM),268,37,303,0,608
Bacon County,GARY JOHNSON (LIB),21,4,22,0,47
Baker County,DONALD J. TRUMP (REP),396,76,302,1,775
Baker County,HILLARY CLINTON (DEM),319,69,261,1,650
Baker County,GARY JOHNSON (LIB),11,1,3,0,15
Baldwin County,DONALD J. TRUMP (REP),"2,929",330,"4,433",5,"7,697"
Baldwin County,HILLARY CLINTON (DEM),"3,143",724,"4,099",4,"7,970"
Baldwin County,GARY JOHNSON (LIB),192,27,200,0,419
Banks County,DONALD J. TRUMP (REP),"3,079",195,"2,858",2,"6,134"
Banks County,HILLARY CLINTON (DEM),352,40,292,0,684
Banks County,GARY JOHNSON (LIB),77,6,49,0,132
Barrow County,DONALD J. TRUMP (REP),"8,881",755,"11,471",1,"21,108"
Barrow County,HILLARY CLINTON (DEM),"2,832",371,"3,377",0,"6,580"
Barrow County,GARY JOHNSON (LIB),656,46,441,0,"1,143"
Bartow County,DONALD J. TRUMP (REP),"15,525","1,038","13,327",21,"29,911"
Bartow County,HILLARY CLINTON (DEM),"4,051",440,"3,715",6,"8,212"
Bartow County,GARY JOHNSON (LIB),788,44,349,2,"1,183"
Ben Hill County,DONALD J. TRUMP (REP),907,115,"2,712",5,"3,739"
Ben Hill County,HILLARY CLINTON (DEM),670,117,"1,311",3,"2,101"
Ben Hill County,GARY JOHNSON (LIB),33,11,47,0,91
Berrien County,DONALD J. TRUMP (REP),"2,351",267,"2,790",14,"5,422"
Berrien County,HILLARY CLINTON (DEM),508,90,444,5,"1,047"
Berrien County,GARY JOHNSON (LIB),55,13,46,1,115
Bibb County,DONALD J. TRUMP (REP),"12,591","1,413","9,998",41,"24,043"
Bibb County,HILLARY CLINTON (DEM),"16,118","2,241","18,265",163,"36,787"
Bibb County,GARY JOHNSON (LIB),903,85,452,7,"1,447"
Bleckley County,DONALD J. TRUMP (REP),"1,505",136,"2,076",2,"3,719"
Bleckley County,HILLARY CLINTON (DEM),479,113,502,7,"1,101"
Bleckley County,GARY JOHNSON (LIB),56,1,66,0,123
Brantley County,DONALD J. TRUMP (REP),"2,510",200,"2,851",6,"5,567"
Brantley County,HILLARY CLINTON (DEM),304,42,273,0,619
Brantley County,GARY JOHNSON (LIB),66,5,34,1,106
Brooks County,DONALD J. TRUMP (REP),"1,769",156,"1,754",22,"3,701"
Brooks County,HILLARY CLINTON (DEM),"1,041",460,"1,003",24,"2,528"
Brooks County,GARY JOHNSON (LIB),43,5,37,4,89
Bryan County,DONALD J. TRUMP (REP),"3,899",286,"6,336",8,"10,529"
Bryan County,HILLARY CLINTON (DEM),"1,465",235,"2,312",2,"4,014"
Bryan County,GARY JOHNSON (LIB),256,30,256,0,542
Bulloch County,DONALD J. TRUMP (REP),"7,334",591,"7,142",30,"15,097"
Bulloch County,HILLARY CLINTON (DEM),"3,961",430,"4,851",19,"9,261"
Bulloch County,GARY JOHNSON (LIB),458,27,405,0,890
Burke County,DONALD J. TRUMP (REP),"2,254",256,"1,981",0,"4,491"
Burke County,HILLARY CLINTON (DEM),"2,484",654,"1,593",0,"4,731"
Burke County,GARY JOHNSON (LIB),76,12,41,0,129
Butts County,DONALD J. TRUMP (REP),"1,769",186,"4,762",0,"6,717"
Butts County,HILLARY CLINTON (DEM),814,88,"1,664",0,"2,566"
Butts County,GARY JOHNSON (LIB),70,6,118,0,194
Calhoun County,DONALD J. TRUMP (REP),445,44,340,1,830
Calhoun County,HILLARY CLINTON (DEM),751,106,321,1,"1,179"
Calhoun County,GARY JOHNSON (LIB),13,0,3,0,16
Camden County,DONALD J. TRUMP (REP),"4,876",608,"6,813",13,"12,310"
Camden County,HILLARY CLINTON (DEM),"2,092",466,"3,364",8,"5,930"
Camden County,GARY JOHNSON (LIB),331,48,250,0,629
Candler County,DONALD J. TRUMP (REP),567,86,"2,008",3,"2,664"
Candler County,HILLARY CLINTON (DEM),380,46,597,3,"1,026"
Candler County,GARY JOHNSON (LIB),35,5,33,0,73
Carroll County,DONALD J. TRUMP (REP),"13,018",901,"16,070",40,"30,029"
Carroll County,HILLARY CLINTON (DEM),"4,983",543,"6,898",40,"12,464"
Carroll County,GARY JOHNSON (LIB),741,35,563,7,"1,346"
Catoosa County,DONALD J. TRUMP (REP),"6,827",460,"13,573",16,"20,876"
Catoosa County,HILLARY CLINTON (DEM),"1,650",182,"2,937",2,"4,771"
Catoosa County,GARY JOHNSON (LIB),461,32,388,0,881
Charlton County,DONALD J. TRUMP (REP),"1,220",158,"1,567",6,"2,951"
Charlton County,HILLARY CLINTON (DEM),434,55,513,2,"1,004"
Charlton County,GARY JOHNSON (LIB),24,7,23,0,54
Chatham County,DONALD J. TRUMP (REP),"30,267","1,915","13,462",44,"45,688"
Chatham County,HILLARY CLINTON (DEM),"37,801","3,116","21,310",63,"62,290"
Chatham County,GARY JOHNSON (LIB),"2,704",125,669,5,"3,503"
Chattahoochee County,DONALD J. TRUMP (REP),420,34,292,5,751
Chattahoochee County,HILLARY CLINTON (DEM),280,29,284,1,594
Chattahoochee County,GARY JOHNSON (LIB),27,2,16,0,45
Chattooga County,DONALD J. TRUMP (REP),"3,034",144,"3,279",5,"6,462"
Chattooga County,HILLARY CLINTON (DEM),703,82,827,1,"1,613"
Chattooga County,GARY JOHNSON (LIB),102,6,69,0,177
Cherokee County,DONALD J. TRUMP (REP),"31,540","3,546","45,545",18,"80,649"
Cherokee County,HILLARY CLINTON (DEM),"10,241","1,574","13,410",6,"25,231"
Cherokee County,GARY JOHNSON (LIB),"2,772",245,"1,996",2,"5,015"
Clarke County,DONALD J. TRUMP (REP),"5,678",939,"6,079",21,"12,717"
Clarke County,HILLARY CLINTON (DEM),"11,898","1,648","15,991",66,"29,603"
Clarke County,GARY JOHNSON (LIB),"1,110",74,832,3,"2,019"
Clay County,DONALD J. TRUMP (REP),162,36,366,2,566
Clay County,HILLARY CLINTON (DEM),366,69,261,1,697
Clay County,GARY JOHNSON (LIB),6,0,2,0,8
Clayton County,DONALD J. TRUMP (REP),"4,119",889,"7,621",16,"12,645"
Clayton County,HILLARY CLINTON (DEM),"28,567","2,179","47,341",133,"78,220"
Clayton County,GARY JOHNSON (LIB),794,54,794,5,"1,647"
Clinch County,DONALD J. TRUMP (REP),680,56,988,3,"1,727"
Clinch County,HILLARY CLINTON (DEM),332,30,323,1,686
Clinch County,GARY JOHNSON (LIB),16,3,15,0,34
Cobb County,DONALD J. TRUMP (REP),"79,118","12,461","61,089",244,"152,912"
Cobb County,HILLARY CLINTON (DEM),"75,036","10,124","74,472",489,"160,121"
Cobb County,GARY JOHNSON (LIB),"9,802",934,"3,693",37,"14,466"
Coffee County,DONALD J. TRUMP (REP),"3,051",295,"6,242",0,"9,588"
Coffee County,HILLARY CLINTON (DEM),"1,642",168,"2,284",0,"4,094"
Coffee County,GARY JOHNSON (LIB),90,17,126,0,233
Colquitt County,DONALD J. TRUMP (REP),"4,968",260,"4,667",3,"9,898"
Colquitt County,HILLARY CLINTON (DEM),"1,724",176,"1,561",2,"3,463"
Colquitt County,GARY JOHNSON (LIB),127,12,101,0,240
Columbia County,DONALD J. TRUMP (REP),"17,194","1,802","24,070",19,"43,085"
Columbia County,HILLARY CLINTON (DEM),"7,328","1,271","10,279",9,"18,887"
Columbia County,GARY JOHNSON (LIB),"1,285",132,852,1,"2,270"
Cook County,DONALD J. TRUMP (REP),"1,594",149,"2,433",0,"4,176"
Cook County,HILLARY CLINTON (DEM),910,68,775,0,"1,753"
Cook County,GARY JOHNSON (LIB),46,6,60,0,112
Coweta County,DONALD J. TRUMP (REP),"18,778","1,892","21,851",12,"42,533"
Coweta County,HILLARY CLINTON (DEM),"7,282",883,"8,411",7,"16,583"
Coweta County,GARY JOHNSON (LIB),"1,257",117,858,3,"2,235"
Crawford County,DONALD J. TRUMP (REP),"1,615",153,"1,864",3,"3,635"
Crawford County,HILLARY CLINTON (DEM),598,95,726,2,"1,421"
