county_name,candidate_name,election_day,absentee_mail,early_in_person,provisional,total
Appling County,Donald J. Trump (Rep),"4,564","1,928",269,0,"6,761"
Appling County,Kamala D. Harris (Dem),"1,024",381,155,0,"1,560"
Appling County,Chase Oliver (Lib),4,3,1,0,8
Appling County,Jill Stein (Grn),4,0,1,0,5
Atkinson County,Donald J. Trump (Rep),"1,504",795,51,0,"2,350"
Atkinson County,Kamala D. Harris (Dem),371,289,39,1,700
Atkinson County,Chase Oliver (Lib),3,3,0,0,6
Atkinson County,Jill Stein (Grn),0,0,1,0,1
Bacon County,Donald J. Trump (Rep),"3,509",569,107,1,"4,186"
Bacon County,Kamala D. Harris (Dem),413,194,38,0,645
Bacon County,Chase Oliver (Lib),5,1,0,0,6
Bacon County,Jill Stein (Grn),0,1,1,0,2
Baker County,Donald J. Trump (Rep),521,306,56,0,883
Baker County,Kamala D. Harris (Dem),330,173,79,8,590
Baker County,Chase Oliver (Lib),0,1,0,0,1
Baker County,Jill Stein (Grn),1,1,0,0,2
Baldwin County,Donald J. Trump (Rep),"7,107","2,097",369,1,"9,574"
Baldwin County,Kamala D. Harris (Dem),"6,019","2,406",731,3,"9,159"
Baldwin County,Chase Oliver (Lib),38,19,2,0,59
Baldwin County,Jill Stein (Grn),21,8,4,0,33
Banks County,Donald J. Trump (Rep),"7,259","1,862",234,3,"9,358"
Banks County,Kamala D. Harris (Dem),778,252,106,0,"1,136"
Banks County,Chase Oliver (Lib),7,7,1,0,15
Banks County,Jill Stein (Grn),4,6,0,0,10
Barrow County,Donald J. Trump (Rep),"21,168","8,623",932,7,"30,730"
Barrow County,Kamala D. Harris (Dem),"8,185","3,808",954,2,"12,949"
Barrow County,Chase Oliver (Lib),91,89,3,0,183
Barrow County,Jill Stein (Grn),29,38,5,0,72
Bartow County,Donald J. Trump (Rep),"30,209","11,725","1,312",25,"43,271"
Bartow County,Kamala D. Harris (Dem),"9,218","3,599","1,116",9,"13,942"
Bartow County,Chase Oliver (Lib),112,118,11,1,242
Bartow County,Jill Stein (Grn),49,36,7,0,92
Ben Hill County,Donald J. Trump (Rep),"3,562",608,111,0,"4,281"
Ben Hill County,Kamala D. Harris (Dem),"1,580",447,172,0,"2,199"
Ben Hill County,Chase Oliver (Lib),11,2,1,0,14
Ben Hill County,Jill Stein (Grn),6,1,0,0,7
Berrien County,Donald J. Trump (Rep),"4,564","2,081",194,2,"6,841"
Berrien County,Kamala D. Harris (Dem),684,427,98,0,"1,209"
Berrien County,Chase Oliver (Lib),12,3,0,0,15
Berrien County,Jill Stein (Grn),3,0,0,0,3
Bibb County,Donald J. Trump (Rep),"17,905","7,800",931,22,"26,658"
Bibb County,Kamala D. Harris (Dem),"26,994","12,151","2,941",86,"42,172"
Bibb County,Chase Oliver (Lib),101,109,5,0,215
Bibb County,Jill Stein (Grn),61,64,10,1,136
Bleckley County,Donald J. Trump (Rep),"3,545",995,145,0,"4,685"
Bleckley County,Kamala D. Harris (Dem),797,425,117,0,"1,339"
Bleckley County,Chase Oliver (Lib),8,5,0,0,13
Bleckley County,Jill Stein (Grn),5,1,1,0,7
Brantley County,Donald J. Trump (Rep),"5,299","2,276",166,3,"7,744"
Brantley County,Kamala D. Harris (Dem),447,221,68,0,736
Brantley County,Chase Oliver (Lib),6,10,0,0,16
Brantley County,Jill Stein (Grn),2,2,0,0,4
Brooks County,Donald J. Trump (Rep),"2,922","1,509",126,3,"4,560"
Brooks County,Kamala D. Harris (Dem),"1,559",803,267,0,"2,629"
Brooks County,Chase Oliver (Lib),3,5,0,0,8
Brooks County,Jill Stein (Grn),6,7,0,0,13
