,county_name,candidate_name,election_day,absentee_mail,early_in_person,provisional,total,date,year
0,Appling County,DONALD J. TRUMP (REP),"2,948",362,"2,182",2,"5,494","November 8, 2016",2016
1,Appling County,HILLARY CLINTON (DEM),677,159,598,0,"1,434","November 8, 2016",2016
2,Appling County,GARY JOHNSON (LIB),41,9,27,0,77,"November 8, 2016",2016
3,Atkinson County,DONALD J. TRUMP (REP),843,58,972,5,"1,878","November 8, 2016",2016
4,Atkinson County,HILLARY CLINTON (DEM),367,30,299,1,697,"November 8, 2016",2016
5,Atkinson County,GARY JOHNSON (LIB),24,1,10,0,35,"November 8, 2016",2016
6,Bacon County,DONALD J. TRUMP (REP),"1,142",134,"2,082",6,"3,364","November 8, 2016",2016
7,Bacon County,HILLARY CLINTON (DEM),268,37,303,0,608,"November 8, 2016",2016
8,Bacon County,GARY JOHNSON (LIB),21,4,22,0,47,"November 8, 2016",2016
9,Baker County,DONALD J. TRUMP (REP),396,76,302,1,775,"November 8, 2016",2016
10,Baker County,HILLARY CLINTON (DEM),319,69,261,1,650,"November 8, 2016",2016
11,Baker County,GARY JOHNSON (LIB),11,1,3,0,15,"November 8, 2016",2016
12,Baldwin County,DONALD J. TRUMP (REP),"2,929",330,"4,433",5,"7,697","November 8, 2016",2016
13,Baldwin County,HILLARY CLINTON (DEM),"3,143",724,"4,099",4,"7,970","November 8, 2016",2016
14,Baldwin County,GARY JOHNSON (LIB),192,27,200,0,419,"November 8, 2016",2016
15,Banks County,DONALD J. TRUMP (REP),"3,079",195,"2,858",2,"6,134","November 8, 2016",2016
16,Banks County,HILLARY CLINTON (DEM),352,40,292,0,684,"November 8, 2016",2016
17,Banks County,GARY JOHNSON (LIB),77,6,49,0,132,"November 8, 2016",2016
18,Barrow County,DONALD J. TRUMP (REP),"8,881",755,"11,471",1,"21,108","November 8, 2016",2016
19,Barrow County,HILLARY CLINTON (DEM),"2,832",371,"3,377",0,"6,580","November 8, 2016",2016
20,Barrow County,GARY JOHNSON (LIB),656,46,441,0,"1,143","November 8, 2016",2016
21,Bartow County,DONALD J. TRUMP (REP),"15,525","1,038","13,327",21,"29,911","November 8, 2016",2016
22,Bartow County,HILLARY CLINTON (DEM),"4,051",440,"3,715",6,"8,212","November 8, 2016",2016
23,Bartow County,GARY JOHNSON (LIB),788,44,349,2,"1,183","November 8, 2016",2016
24,Ben Hill County,DONALD J. TRUMP (REP),907,115,"2,712",5,"3,739","November 8, 2016",2016
25,Ben Hill County,HILLARY CLINTON (DEM),670,117,"1,311",3,"2,101","November 8, 2016",2016
26,Ben Hill County,GARY JOHNSON (LIB),33,11,47,0,91,"November 8, 2016",2016
27,Berrien County,DONALD J. TRUMP (REP),"2,351",267,"2,790",14,"5,422","November 8, 2016",2016
28,Berrien County,HILLARY CLINTON (DEM),508,90,444,5,"1,047","November 8, 2016",2016
29,Berrien County,GARY JOHNSON (LIB),55,13,46,1,115,"November 8, 2016",2016
30,Bibb County,DONALD J. TRUMP (REP),"12,591","1,413","9,998",41,"24,043","November 8, 2016",2016
31,Bibb County,HILLARY CLINTON (DEM),"16,118","2,241","18,265",163,"36,787","November 8, 2016",2016
32,Bibb County,GARY JOHNSON (LIB),903,85,452,7,"1,447","November 8, 2016",2016
33,Bleckley County,DONALD J. TRUMP (REP),"1,505",136,"2,076",2,"3,719","November 8, 2016",2016
34,Bleckley County,HILLARY CLINTON (DEM),479,113,502,7,"1,101","November 8, 2016",2016
35,Bleckley County,GARY JOHNSON (LIB),56,1,66,0,123,"November 8, 2016",2016
