,county_name,county_total,party,party_perc
0,Appling County,7005,REP,78.42969307637402
1,Appling County,7005,DEM,20.471092077087793
3,Atkinson County,2610,REP,71.95402298850576
4,Atkinson County,2610,DEM,26.70498084291188
6,Bacon County,4019,REP,83.7024135357054
7,Bacon County,4019,DEM,15.128141328688729
9,Baker County,1440,REP,53.81944444444444
10,Baker County,1440,DEM,45.13888888888889
12,Baldwin County,16086,REP,47.849061295536494
13,Baldwin County,16086,DEM,49.5461892328733
15,Banks County,6950,REP,88.2589928057554
16,Banks County,6950,DEM,9.841726618705037
18,Barrow County,28831,REP,73.21286115639415
19,Barrow County,28831,DEM,22.822656168707294
21,Bartow County,39306,REP,76.09779677402942
22,Bartow County,39306,DEM,20.892484607947896
24,Ben Hill County,5931,REP,63.04164559096274
25,Ben Hill County,5931,DEM,35.424043163041645
27,Berrien County,6584,REP,82.35115431348724
28,Berrien County,6584,DEM,15.902187120291616
30,Bibb County,62277,REP,38.606548163848615
31,Bibb County,62277,DEM,59.06996162307112
33,Bleckley County,4943,REP,75.23770989277766
34,Bleckley County,4943,DEM,22.273922718996563
36,Brantley County,6292,REP,88.47743165924985
37,Brantley County,6292,DEM,9.837889383343928
39,Brooks County,6318,REP,58.57866413421969
40,Brooks County,6318,DEM,40.01266223488445
42,Bryan County,15085,REP,69.79781239642028
43,Bryan County,15085,DEM,26.609214451441833
45,Bulloch County,25248,REP,59.79483523447402
46,Bulloch County,25248,DEM,36.68013307984791
48,Burke County,9351,REP,48.0269489894129
49,Burke County,9351,DEM,50.5935194096888
51,Butts County,9477,REP,70.87685976574866
52,Butts County,9477,DEM,27.07607892793078
54,Calhoun County,2025,REP,40.98765432098765
55,Calhoun County,2025,DEM,58.22222222222222
57,Camden County,18869,REP,65.23928136096242
58,Camden County,18869,DEM,31.427208649107
60,Candler County,3763,REP,70.79457879351581
61,Candler County,3763,DEM,27.265479670475685
63,Carroll County,43839,REP,68.49836903214033
64,Carroll County,43839,DEM,28.431305458609913
66,Catoosa County,26528,REP,78.69420989143546
67,Catoosa County,26528,DEM,17.984770808202654
69,Charlton County,4009,REP,73.60937889748067
70,Charlton County,4009,DEM,25.043651783487153
72,Chatham County,111481,REP,40.982768364115856
73,Chatham County,111481,DEM,55.874992151128886
75,Chattahoochee County,1390,REP,54.02877697841727
76,Chattahoochee County,1390,DEM,42.73381294964029
78,Chattooga County,8252,REP,78.30828889966068
79,Chattooga County,8252,DEM,19.546776539020843
81,Cherokee County,110895,REP,72.72555119707832
82,Cherokee County,110895,DEM,22.752152937463364
84,Clarke County,44339,REP,28.681296375651232
85,Clarke County,44339,DEM,66.76515031913213
87,Clay County,1271,REP,44.531864673485444
88,Clay County,1271,DEM,54.83870967741935
90,Clayton County,92512,REP,13.668497059840886
91,Clayton County,92512,DEM,84.55119335869942
93,Clinch County,2447,REP,70.57621577441765
94,Clinch County,2447,DEM,28.034327748263177
96,Cobb County,327499,REP,46.69082959031936
97,Cobb County,327499,DEM,48.89205768567233
99,Coffee County,13915,REP,68.90406036651096
100,Coffee County,13915,DEM,29.421487603305785
102,Colquitt County,13601,REP,72.77406073082861
103,Colquitt County,13601,DEM,25.461363135063596
105,Columbia County,64242,REP,67.06671647831637
106,Columbia County,64242,DEM,29.399769621120143
