county_name,candidate_name,election_day,absentee_mail,early_in_person,provisional,total,date,year,county_total,party_perc
Appling County,DONALD J. TRUMP (REP),2948,362,2182,2,5494,"November 8, 2016",2016,7005,78.42969307637402
Appling County,HILLARY CLINTON (DEM),677,159,598,0,1434,"November 8, 2016",2016,7005,20.471092077087793
Appling County,GARY JOHNSON (LIB),41,9,27,0,77,"November 8, 2016",2016,7005,1.099214846538187
Atkinson County,DONALD J. TRUMP (REP),843,58,972,5,1878,"November 8, 2016",2016,2610,71.95402298850576
Atkinson County,HILLARY CLINTON (DEM),367,30,299,1,697,"November 8, 2016",2016,2610,26.70498084291188
Atkinson County,GARY JOHNSON (LIB),24,1,10,0,35,"November 8, 2016",2016,2610,1.3409961685823755
Bacon County,DONALD J. TRUMP (REP),1142,134,2082,6,3364,"November 8, 2016",2016,4019,83.7024135357054
Bacon County,HILLARY CLINTON (DEM),268,37,303,0,608,"November 8, 2016",2016,4019,15.128141328688729
Bacon County,GARY JOHNSON (LIB),21,4,22,0,47,"November 8, 2016",2016,4019,1.1694451356058722
Baker County,DONALD J. TRUMP (REP),396,76,302,1,775,"November 8, 2016",2016,1440,53.81944444444444
Baker County,HILLARY CLINTON (DEM),319,69,261,1,650,"November 8, 2016",2016,1440,45.13888888888889
Baker County,GARY JOHNSON (LIB),11,1,3,0,15,"November 8, 2016",2016,1440,1.0416666666666665
Baldwin County,DONALD J. TRUMP (REP),2929,330,4433,5,7697,"November 8, 2016",2016,16086,47.849061295536494
Baldwin County,HILLARY CLINTON (DEM),3143,724,4099,4,7970,"November 8, 2016",2016,16086,49.5461892328733
Baldwin County,GARY JOHNSON (LIB),192,27,200,0,419,"November 8, 2016",2016,16086,2.6047494715902024
Banks County,DONALD J. TRUMP (REP),3079,195,2858,2,6134,"November 8, 2016",2016,6950,88.2589928057554
Banks County,HILLARY CLINTON (DEM),352,40,292,0,684,"November 8, 2016",2016,6950,9.841726618705037
Banks County,GARY JOHNSON (LIB),77,6,49,0,132,"November 8, 2016",2016,6950,1.8992805755395685
Barrow County,DONALD J. TRUMP (REP),8881,755,11471,1,21108,"November 8, 2016",2016,28831,73.21286115639415
Barrow County,HILLARY CLINTON (DEM),2832,371,3377,0,6580,"November 8, 2016",2016,28831,22.822656168707294
Barrow County,GARY JOHNSON (LIB),656,46,441,0,1143,"November 8, 2016",2016,28831,3.9644826748985467
Bartow County,DONALD J. TRUMP (REP),15525,1038,13327,21,29911,"November 8, 2016",2016,39306,76.09779677402942
Bartow County,HILLARY CLINTON (DEM),4051,440,3715,6,8212,"November 8, 2016",2016,39306,20.892484607947896
Bartow County,GARY JOHNSON (LIB),788,44,349,2,1183,"November 8, 2016",2016,39306,3.009718618022694
Ben Hill County,DONALD J. TRUMP (REP),907,115,2712,5,3739,"November 8, 2016",2016,5931,63.04164559096274
Ben Hill County,HILLARY CLINTON (DEM),670,117,1311,3,2101,"November 8, 2016",2016,5931,35.424043163041645
Ben Hill County,GARY JOHNSON (LIB),33,11,47,0,91,"November 8, 2016",2016,5931,1.5343112459956163
Berrien County,DONALD J. TRUMP (REP),2351,267,2790,14,5422,"November 8, 2016",2016,6584,82.35115431348724
Berrien County,HILLARY CLINTON (DEM),508,90,444,5,1047,"November 8, 2016",2016,6584,15.902187120291616
Berrien County,GARY JOHNSON (LIB),55,13,46,1,115,"November 8, 2016",2016,6584,1.746658566221142
Bibb County,DONALD J. TRUMP (REP),12591,1413,9998,41,24043,"November 8, 2016",2016,62277,38.606548163848615
Bibb County,HILLARY CLINTON (DEM),16118,2241,18265,163,36787,"November 8, 2016",2016,62277,59.06996162307112
Bibb County,GARY JOHNSON (LIB),903,85,452,7,1447,"November 8, 2016",2016,62277,2.3234902130802704
Bleckley County,DONALD J. TRUMP (REP),1505,136,2076,2,3719,"November 8, 2016",2016,4943,75.23770989277766
Bleckley County,HILLARY CLINTON (DEM),479,113,502,7,1101,"November 8, 2016",2016,4943,22.273922718996563
Bleckley County,GARY JOHNSON (LIB),56,1,66,0,123,"November 8, 2016",2016,4943,2.488367388225774
Brantley County,DONALD J. TRUMP (REP),2510,200,2851,6,5567,"November 8, 2016",2016,6292,88.47743165924985
Brantley County,HILLARY CLINTON (DEM),304,42,273,0,619,"November 8, 2016",2016,6292,9.837889383343928
Brantley County,GARY JOHNSON (LIB),66,5,34,1,106,"November 8, 2016",2016,6292,1.6846789574062302
Brooks County,DONALD J. TRUMP (REP),1769,156,1754,22,3701,"November 8, 2016",2016,6318,58.57866413421969
Brooks County,HILLARY CLINTON (DEM),1041,460,1003,24,2528,"November 8, 2016",2016,6318,40.01266223488445
Brooks County,GARY JOHNSON (LIB),43,5,37,4,89,"November 8, 2016",2016,6318,1.4086736308958532
Bryan County,DONALD J. TRUMP (REP),3899,286,6336,8,10529,"November 8, 2016",2016,15085,69.79781239642028
Bryan County,HILLARY CLINTON (DEM),1465,235,2312,2,4014,"November 8, 2016",2016,15085,26.609214451441833
Bryan County,GARY JOHNSON (LIB),256,30,256,0,542,"November 8, 2016",2016,15085,3.5929731521378856
Bulloch County,DONALD J. TRUMP (REP),7334,591,7142,30,15097,"November 8, 2016",2016,25248,59.79483523447402
Bulloch County,HILLARY CLINTON (DEM),3961,430,4851,19,9261,"November 8, 2016",2016,25248,36.68013307984791
Bulloch County,GARY JOHNSON (LIB),458,27,405,0,890,"November 8, 2016",2016,25248,3.5250316856780732
Burke County,DONALD J. TRUMP (REP),2254,256,1981,0,4491,"November 8, 2016",2016,9351,48.0269489894129
Burke County,HILLARY CLINTON (DEM),2484,654,1593,0,4731,"November 8, 2016",2016,9351,50.5935194096888
Burke County,GARY JOHNSON (LIB),76,12,41,0,129,"November 8, 2016",2016,9351,1.3795316008982996
Butts County,DONALD J. TRUMP (REP),1769,186,4762,0,6717,"November 8, 2016",2016,9477,70.87685976574866
Butts County,HILLARY CLINTON (DEM),814,88,1664,0,2566,"November 8, 2016",2016,9477,27.07607892793078
Butts County,GARY JOHNSON (LIB),70,6,118,0,194,"November 8, 2016",2016,9477,2.0470613063205656
Calhoun County,DONALD J. TRUMP (REP),445,44,340,1,830,"November 8, 2016",2016,2025,40.98765432098765
Calhoun County,HILLARY CLINTON (DEM),751,106,321,1,1179,"November 8, 2016",2016,2025,58.22222222222222
Calhoun County,GARY JOHNSON (LIB),13,0,3,0,16,"November 8, 2016",2016,2025,0.7901234567901235
Camden County,DONALD J. TRUMP (REP),4876,608,6813,13,12310,"November 8, 2016",2016,18869,65.23928136096242
Camden County,HILLARY CLINTON (DEM),2092,466,3364,8,5930,"November 8, 2016",2016,18869,31.427208649107
Camden County,GARY JOHNSON (LIB),331,48,250,0,629,"November 8, 2016",2016,18869,3.3335099899305742
Candler County,DONALD J. TRUMP (REP),567,86,2008,3,2664,"November 8, 2016",2016,3763,70.79457879351581
Candler County,HILLARY CLINTON (DEM),380,46,597,3,1026,"November 8, 2016",2016,3763,27.265479670475685
